,City,Month,Humidity,AM-PM
121,FORT MYERS,June,87,M
122,GAINESVILLE,June,88,M
123,JACKSONVILLE,June,87,M
124,KEY WEST,June,78,M
125,MIAMI,June,82,M
126,ORLANDO,June,88,M
127,PENSACOLA,June,86,M
128,TALLAHASSEE,June,89,M
129,TAMPA,June,84,M
130,VERO BEACH,June,83,M
131,WEST PALM BEACH,June,83,M
132,DAYTONA BEACH,June,63,A
133,FORT MYERS,June,58,A
134,GAINESVILLE,June,58,A
135,JACKSONVILLE,June,58,A
136,KEY WEST,June,69,A
137,MIAMI,June,65,A
138,ORLANDO,June,58,A
139,PENSACOLA,June,60,A
140,TALLAHASSEE,June,55,A
141,TAMPA,June,60,A
142,VERO BEACH,June,65,A
143,WEST PALM BEACH,June,65,A
144,DAYTONA BEACH,July,88,M
145,FORT MYERS,July,88,M
146,GAINESVILLE,July,90,M
147,JACKSONVILLE,July,89,M
148,KEY WEST,July,76,M
149,MIAMI,July,81,M
150,ORLANDO,July,90,M
151,PENSACOLA,July,88,M
152,TALLAHASSEE,July,91,M
153,TAMPA,July,85,M
154,VERO BEACH,July,85,M
155,WEST PALM BEACH,July,83,M
156,DAYTONA BEACH,July,64,A
157,FORT MYERS,July,61,A
158,GAINESVILLE,July,61,A
159,JACKSONVILLE,July,59,A
160,KEY WEST,July,67,A
161,MIAMI,July,63,A
162,ORLANDO,July,59,A
163,PENSACOLA,July,64,A
164,TALLAHASSEE,July,61,A
165,TAMPA,July,63,A
166,VERO BEACH,July,66,A
167,WEST PALM BEACH,July,64,A
168,DAYTONA BEACH,August,89,M
169,FORT MYERS,August,89,M
170,GAINESVILLE,August,92,M
171,JACKSONVILLE,August,91,M
172,KEY WEST,August,77,M
173,MIAMI,August,83,M
174,ORLANDO,August,91,M
175,PENSACOLA,August,90,M
176,TALLAHASSEE,August,92,M
177,TAMPA,August,88,M
178,VERO BEACH,August,87,M
179,WEST PALM BEACH,August,84,M
180,DAYTONA BEACH,August,66,A
181,FORT MYERS,August,61,A
182,GAINESVILLE,August,63,A
183,JACKSONVILLE,August,61,A
184,KEY WEST,August,67,A
185,MIAMI,August,64,A
186,ORLANDO,August,61,A
187,PENSACOLA,August,64,A
188,TALLAHASSEE,August,61,A
189,TAMPA,August,64,A
190,VERO BEACH,August,66,A
191,WEST PALM BEACH,August,64,A
192,DAYTONA BEACH,September,89,M
193,FORT MYERS,September,91,M
194,GAINESVILLE,September,92,M
195,JACKSONVILLE,September,92,M
196,KEY WEST,September,80,M
197,MIAMI,September,86,M
198,ORLANDO,September,91,M
199,PENSACOLA,September,87,M
200,TALLAHASSEE,September,91,M
201,TAMPA,September,89,M
202,VERO BEACH,September,88,M
203,WEST PALM BEACH,September,86,M
204,DAYTONA BEACH,September,67,A
205,FORT MYERS,September,62,A
206,GAINESVILLE,September,62,A
207,JACKSONVILLE,September,63,A
208,KEY WEST,September,70,A
209,MIAMI,September,66,A
210,ORLANDO,September,61,A
211,PENSACOLA,September,61,A
212,TALLAHASSEE,September,58,A
213,TAMPA,September,62,A
214,VERO BEACH,September,67,A
215,WEST PALM BEACH,September,66,A
216,DAYTONA BEACH,October,86,M
217,FORT MYERS,October,89,M
218,GAINESVILLE,October,90,M
219,JACKSONVILLE,October,91,M
220,KEY WEST,October,81,M
221,MIAMI,October,84,M
222,ORLANDO,October,88,M
223,PENSACOLA,October,84,M
224,TALLAHASSEE,October,89,M
225,TAMPA,October,87,M
226,VERO BEACH,October,84,M
227,WEST PALM BEACH,October,83,M
228,DAYTONA BEACH,October,62,A
229,FORT MYERS,October,57,A
230,GAINESVILLE,October,57,A
231,JACKSONVILLE,October,59,A
232,KEY WEST,October,69,A
233,MIAMI,October,63,A
234,ORLANDO,October,57,A
235,PENSACOLA,October,55,A
236,TALLAHASSEE,October,52,A
237,TAMPA,October,57,A
238,VERO BEACH,October,63,A
239,WEST PALM BEACH,October,62,A
240,DAYTONA BEACH,November,87,M
241,FORT MYERS,November,89,M
242,GAINESVILLE,November,91,M
243,JACKSONVILLE,November,90,M
244,KEY WEST,November,82,M
245,MIAMI,November,83,M
246,ORLANDO,November,89,M
247,PENSACOLA,November,84,M
248,TALLAHASSEE,November,88,M
249,TAMPA,November,86,M
250,VERO BEACH,November,86,M
251,WEST PALM BEACH,November,83,M
252,DAYTONA BEACH,November,60,A
253,FORT MYERS,November,55,A
254,GAINESVILLE,November,57,A
255,JACKSONVILLE,November,57,A
256,KEY WEST,November,69,A
257,MIAMI,November,61,A
258,ORLANDO,November,56,A
259,PENSACOLA,November,57,A
260,TALLAHASSEE,November,53,A
261,TAMPA,November,56,A
262,VERO BEACH,November,61,A
263,WEST PALM BEACH,November,60,A
264,DAYTONA BEACH,December,88,M
265,FORT MYERS,December,90,M
266,GAINESVILLE,December,90,M
267,JACKSONVILLE,December,89,M
268,KEY WEST,December,83,M
269,MIAMI,December,83,M
270,ORLANDO,December,88,M
271,PENSACOLA,December,83,M
272,TALLAHASSEE,December,87,M
273,TAMPA,December,86,M
274,VERO BEACH,December,88,M
275,WEST PALM BEACH,December,83,M
276,DAYTONA BEACH,December,60,A
277,FORT MYERS,December,57,A
278,GAINESVILLE,December,58,A
279,JACKSONVILLE,December,59,A
280,KEY WEST,December,70,A
281,MIAMI,December,60,A
282,ORLANDO,December,57,A
283,PENSACOLA,December,62,A
284,TALLAHASSEE,December,57,A
285,TAMPA,December,59,A
286,VERO BEACH,December,61,A
287,WEST PALM BEACH,December,60,A
288,DAYTONA BEACH,Annual,87,M
289,FORT MYERS,Annual,88,M
290,GAINESVILLE,Annual,89,M
291,JACKSONVILLE,Annual,88,M
292,KEY WEST,Annual,79,M
293,MIAMI,Annual,82,M
294,ORLANDO,Annual,88,M
295,PENSACOLA,Annual,85,M
296,TALLAHASSEE,Annual,88,M
297,TAMPA,Annual,86,M
298,VERO BEACH,Annual,85,M
299,WEST PALM BEACH,Annual,82,M
300,DAYTONA BEACH,Annual,60,A
301,FORT MYERS,Annual,55,A
302,GAINESVILLE,Annual,56,A
303,JACKSONVILLE,Annual,56,A
304,KEY WEST,Annual,68,A
305,MIAMI,Annual,61,A
306,ORLANDO,Annual,55,A
307,PENSACOLA,Annual,60,A
308,TALLAHASSEE,Annual,54,A
309,TAMPA,Annual,58,A
310,VERO BEACH,Annual,61,A
311,WEST PALM BEACH,Annual,61,A
