,City,Month,Temperature,Type
123,JACKSONVILLE,November,62.2,Mean temp
124,KEY WEST,November,76.1,Mean temp
125,MIAMI,November,74.9,Mean temp
126,ORLANDO,November,68.9,Mean temp
127,PENSACOLA,November,60.7,Mean temp
128,TALLAHASSEE,November,60.2,Mean temp
129,TAMPA,November,69.1,Mean temp
130,VERO BEACH,November,70.2,Mean temp
131,WEST PALM BEACH,November,72.8,Mean temp
132,DAYTONA BEACH,December,60.5,Mean temp
133,FORT MYERS,December,66.5,Mean temp
134,GAINESVILLE,December,56.1,Mean temp
135,JACKSONVILLE,December,55.2,Mean temp
136,KEY WEST,December,71.9,Mean temp
137,MIAMI,December,70.5,Mean temp
138,ORLANDO,December,63.0,Mean temp
139,PENSACOLA,December,53.7,Mean temp
140,TALLAHASSEE,December,53.2,Mean temp
141,TAMPA,December,63.1,Mean temp
142,VERO BEACH,December,64.6,Mean temp
143,WEST PALM BEACH,December,68.1,Mean temp
144,DAYTONA BEACH,Annual,70.8,Mean temp
145,FORT MYERS,Annual,75.1,Mean temp
146,GAINESVILLE,Annual,68.9,Mean temp
147,JACKSONVILLE,Annual,68.5,Mean temp
148,KEY WEST,Annual,78.0,Mean temp
149,MIAMI,Annual,77.2,Mean temp
150,ORLANDO,Annual,73.3,Mean temp
151,PENSACOLA,Annual,67.4,Mean temp
152,TALLAHASSEE,Annual,67.6,Mean temp
153,TAMPA,Annual,73.4,Mean temp
154,VERO BEACH,Annual,73.0,Mean temp
155,WEST PALM BEACH,Annual,75.4,Mean temp
