,City,Month,Temperature,Type
78,ORLANDO,July,64,Record minimum
79,PENSACOLA,July,61,Record minimum
80,TALLAHASSEE,July,57,Record minimum
81,TAMPA,July,63,Record minimum
82,VERO BEACH,July,67,Record minimum
83,WEST PALM BEACH,July,68,Record minimum
84,DAYTONA,August,63,Record minimum
85,FORT MYERS,August,65,Record minimum
86,GAINESVILLE,August,61,Record minimum
87,JACKSONVILLE,August,63,Record minimum
88,KEY WEST,August,68,Record minimum
89,MIAMI,August,68,Record minimum
90,ORLANDO,August,65,Record minimum
91,PENSACOLA,August,60,Record minimum
92,TALLAHASSEE,August,57,Record minimum
93,TAMPA,August,67,Record minimum
94,VERO BEACH,August,64,Record minimum
95,WEST PALM BEACH,August,65,Record minimum
96,DAYTONA,September,52,Record minimum
97,FORT MYERS,September,63,Record minimum
98,GAINESVILLE,September,48,Record minimum
99,JACKSONVILLE,September,48,Record minimum
100,KEY WEST,September,69,Record minimum
101,MIAMI,September,68,Record minimum
102,ORLANDO,September,57,Record minimum
103,PENSACOLA,September,43,Record minimum
104,TALLAHASSEE,September,40,Record minimum
105,TAMPA,September,57,Record minimum
106,VERO BEACH,September,61,Record minimum
107,WEST PALM BEACH,September,66,Record minimum
108,DAYTONA,October,39,Record minimum
109,FORT MYERS,October,45,Record minimum
110,GAINESVILLE,October,32,Record minimum
111,JACKSONVILLE,October,33,Record minimum
112,KEY WEST,October,60,Record minimum
113,MIAMI,October,53,Record minimum
114,ORLANDO,October,43,Record minimum
115,PENSACOLA,October,32,Record minimum
116,TALLAHASSEE,October,29,Record minimum
117,TAMPA,October,40,Record minimum
118,VERO BEACH,October,45,Record minimum
119,WEST PALM BEACH,October,46,Record minimum
120,DAYTONA,November,25,Record minimum
121,FORT MYERS,November,34,Record minimum
122,GAINESVILLE,November,24,Record minimum
123,JACKSONVILLE,November,21,Record minimum
124,KEY WEST,November,49,Record minimum
125,MIAMI,November,39,Record minimum
126,ORLANDO,November,32,Record minimum
127,PENSACOLA,November,22,Record minimum
128,TALLAHASSEE,November,13,Record minimum
129,TAMPA,November,23,Record minimum
130,VERO BEACH,November,33,Record minimum
131,WEST PALM BEACH,November,36,Record minimum
132,DAYTONA,December,19,Record minimum
133,FORT MYERS,December,24,Record minimum
134,GAINESVILLE,December,13,Record minimum
135,JACKSONVILLE,December,11,Record minimum
136,KEY WEST,December,44,Record minimum
137,MIAMI,December,30,Record minimum
138,ORLANDO,December,20,Record minimum
139,PENSACOLA,December,11,Record minimum
140,TALLAHASSEE,December,10,Record minimum
141,TAMPA,December,18,Record minimum
142,VERO BEACH,December,23,Record minimum
143,WEST PALM BEACH,December,28,Record minimum
144,DAYTONA,Annual,15,Record minimum
145,FORT MYERS,Annual,24,Record minimum
146,GAINESVILLE,Annual,10,Record minimum
147,JACKSONVILLE,Annual,7,Record minimum
148,KEY WEST,Annual,41,Record minimum
149,MIAMI,Annual,30,Record minimum
150,ORLANDO,Annual,19,Record minimum
151,PENSACOLA,Annual,5,Record minimum
152,TALLAHASSEE,Annual,6,Record minimum
153,TAMPA,Annual,18,Record minimum
154,VERO BEACH,Annual,21,Record minimum
155,WEST PALM BEACH,Annual,27,Record minimum
