,City,Month,Temperature,Type
80,TALLAHASSEE,July,92.1,Normal maximum
81,TAMPA,July,90.1,Normal maximum
82,VERO BEACH,July,90.0,Normal maximum
83,WEST PALM BEACH,July,89.9,Normal maximum
84,DAYTONA BEACH,August,89.6,Normal maximum
85,FORT MYERS,August,91.8,Normal maximum
86,GAINESVILLE,August,90.2,Normal maximum
87,JACKSONVILLE,August,90.9,Normal maximum
88,KEY WEST,August,89.8,Normal maximum
89,MIAMI,August,91.0,Normal maximum
90,ORLANDO,August,91.6,Normal maximum
91,PENSACOLA,August,88.6,Normal maximum
92,TALLAHASSEE,August,91.5,Normal maximum
93,TAMPA,August,90.2,Normal maximum
94,VERO BEACH,August,89.8,Normal maximum
95,WEST PALM BEACH,August,90.1,Normal maximum
96,DAYTONA BEACH,September,86.9,Normal maximum
97,FORT MYERS,September,90.5,Normal maximum
98,GAINESVILLE,September,87.4,Normal maximum
99,JACKSONVILLE,September,86.9,Normal maximum
100,KEY WEST,September,88.6,Normal maximum
101,MIAMI,September,89.3,Normal maximum
102,ORLANDO,September,89.2,Normal maximum
103,PENSACOLA,September,85.7,Normal maximum
104,TALLAHASSEE,September,88.4,Normal maximum
105,TAMPA,September,88.9,Normal maximum
106,VERO BEACH,September,88.0,Normal maximum
107,WEST PALM BEACH,September,88.3,Normal maximum
108,DAYTONA BEACH,October,82.0,Normal maximum
109,FORT MYERS,October,86.7,Normal maximum
110,GAINESVILLE,October,81.3,Normal maximum
111,JACKSONVILLE,October,80.4,Normal maximum
112,KEY WEST,October,85.1,Normal maximum
113,MIAMI,October,86.2,Normal maximum
114,ORLANDO,October,84.1,Normal maximum
115,PENSACOLA,October,78.4,Normal maximum
116,TALLAHASSEE,October,81.4,Normal maximum
117,TAMPA,October,84.3,Normal maximum
118,VERO BEACH,October,84.2,Normal maximum
119,WEST PALM BEACH,October,84.9,Normal maximum
120,DAYTONA BEACH,November,76.0,Normal maximum
121,FORT MYERS,November,81.3,Normal maximum
122,GAINESVILLE,November,74.4,Normal maximum
123,JACKSONVILLE,November,73.5,Normal maximum
124,KEY WEST,November,80.7,Normal maximum
125,MIAMI,November,81.7,Normal maximum
126,ORLANDO,November,77.9,Normal maximum
127,PENSACOLA,November,70.3,Normal maximum
128,TALLAHASSEE,November,73.0,Normal maximum
129,TAMPA,November,78.0,Normal maximum
130,VERO BEACH,November,78.9,Normal maximum
131,WEST PALM BEACH,November,80.1,Normal maximum
132,DAYTONA BEACH,December,70.4,Normal maximum
133,FORT MYERS,December,76.6,Normal maximum
134,GAINESVILLE,December,67.9,Normal maximum
135,JACKSONVILLE,December,66.6,Normal maximum
136,KEY WEST,December,76.9,Normal maximum
137,MIAMI,December,77.9,Normal maximum
138,ORLANDO,December,72.2,Normal maximum
139,PENSACOLA,December,62.7,Normal maximum
140,TALLAHASSEE,December,65.3,Normal maximum
141,TAMPA,December,72.0,Normal maximum
142,VERO BEACH,December,74.2,Normal maximum
143,WEST PALM BEACH,December,76.2,Normal maximum
144,DAYTONA BEACH,Annual,80.1,Normal maximum
145,FORT MYERS,Annual,84.7,Normal maximum
146,GAINESVILLE,Annual,80.0,Normal maximum
147,JACKSONVILLE,Annual,79.3,Normal maximum
148,KEY WEST,Annual,83.0,Normal maximum
149,MIAMI,Annual,84.3,Normal maximum
150,ORLANDO,Annual,82.4,Normal maximum
151,PENSACOLA,Annual,75.8,Normal maximum
152,TALLAHASSEE,Annual,79.5,Normal maximum
153,TAMPA,Annual,81.7,Normal maximum
154,VERO BEACH,Annual,81.9,Normal maximum
155,WEST PALM BEACH,Annual,82.9,Normal maximum
